Time (s),Voltage (V)
0.0,0.0009731018622536882
1.220703125e-13,-0.004338426392701352
2.44140625e-13,-0.006943250204456249
3.6621093750000005e-13,-0.0033612894787058488
4.8828125e-13,-0.008354024759807715
6.103515625e-13,-0.0079318238175222
7.324218750000001e-13,-0.0035566394153162886
8.544921875000001e-13,-0.003965914892548075
9.765625e-13,-0.005161688123678648
1.0986328125000001e-12,-0.0037708628637285082
1.220703125e-12,-0.007130610491918591
1.3427734375000001e-12,0.00028692392137372093
1.4648437500000002e-12,-0.007692250046830964
1.5869140625e-12,-0.007850898564774896
1.7089843750000002e-12,-0.012461949120542532
1.8310546875000002e-12,-0.013683665861444476
1.953125e-12,-0.02485195151234269
2.0751953125e-12,-0.025422706409494795
2.1972656250000003e-12,-0.022673500329904738
2.3193359375e-12,-0.030750384851453098
2.44140625e-12,-0.03649180430940614
2.5634765625000003e-12,-0.03733549923077465
2.6855468750000002e-12,-0.042211321179920186
2.8076171875e-12,-0.03518744699308318
2.9296875000000004e-12,-0.04318921724347811
3.0517578125000003e-12,-0.037669669125789486
3.173828125e-12,-0.04389758650402728
3.2958984375e-12,-0.047443782367030306
3.4179687500000003e-12,-0.05122326496156999
3.5400390625e-12,-0.04590679637516082
3.6621093750000005e-12,-0.05172710575902464
3.7841796875e-12,-0.0472847521824177
3.90625e-12,-0.046918836908989875
4.0283203125000005e-12,-0.051507483549994314
4.150390625e-12,-0.053172278145970565
4.2724609375e-12,-0.04687559343683879
4.3945312500000006e-12,-0.04908740759789241
4.5166015625e-12,-0.04619878694050279
4.638671875e-12,-0.04678077330980082
4.760742187500001e-12,-0.050238445112094667
4.8828125e-12,-0.045636649762092044
5.0048828125e-12,-0.04989933806147983
5.126953125000001e-12,-0.04118148358494855
5.2490234375e-12,-0.04095878067463904
5.3710937500000004e-12,-0.03924075118004694
5.493164062500001e-12,-0.040546974252267
5.615234375e-12,-0.03690358877639811
5.7373046875000005e-12,-0.03492778604305118
5.859375000000001e-12,-0.03901070971206079
5.9814453125e-12,-0.036014878344666615
6.1035156250000005e-12,-0.03128669997554304
6.2255859375e-12,-0.034939647352536025
6.34765625e-12,-0.03419866814342894
6.4697265625000006e-12,-0.031515776204081275
6.591796875e-12,-0.0323384120018057
6.7138671875e-12,-0.024158017741872987
6.835937500000001e-12,-0.032591159926550914
6.9580078125e-12,-0.030003604232915006
7.080078125e-12,-0.023396743959854523
7.202148437500001e-12,-0.02495607854940508
7.324218750000001e-12,-0.02393042634016101
7.4462890625e-12,-0.02295002634945205
7.568359375e-12,-0.015490778690392257
7.690429687500001e-12,-0.015434192605374878
7.8125e-12,-0.017812414466510263
7.9345703125e-12,-0.02127692884030015
8.056640625000001e-12,-0.019923001320659224
8.1787109375e-12,-0.021224858699473458
8.30078125e-12,-0.015938799977196886
8.422851562500001e-12,-0.014945168937316329
8.544921875e-12,-0.012772739624490843
8.6669921875e-12,-0.01431133463310814
8.789062500000001e-12,-0.015781118348928785
8.9111328125e-12,-0.013841877676617688
9.033203125e-12,-0.01565627646162401
9.155273437500001e-12,-0.014505632064114787
9.27734375e-12,-0.008435381968880915
9.3994140625e-12,-0.006496412247526721
9.521484375000001e-12,-0.0018018826225141898
9.6435546875e-12,-0.0004501442847717832
9.765625e-12,-0.000629695861911605
9.887695312500001e-12,0.0042479007873923984
1.0009765625e-11,0.006321942129293103
1.01318359375e-11,0.013110636149160297
1.0253906250000001e-11,0.013710503535916609
1.0375976562500001e-11,0.01856523831638001
1.0498046875e-11,0.022333752886917475
1.0620117187500001e-11,0.02387140344793514
1.0742187500000001e-11,0.023285304578129766
1.08642578125e-11,0.0241662640327287
1.0986328125000001e-11,0.02312841434303305
1.1108398437500001e-11,0.02877204179832824
1.123046875e-11,0.02658893926821589
1.1352539062500001e-11,0.026222793491589704
1.1474609375000001e-11,0.030759022460150113
1.15966796875e-11,0.02976345150606174
1.1718750000000002e-11,0.028318417306637214
1.1840820312500001e-11,0.023928443947358602
1.1962890625e-11,0.023885310327047316
1.20849609375e-11,0.02903369701631316
1.2207031250000001e-11,0.0267020808712271
1.23291015625e-11,0.025127092961009397
1.2451171875e-11,0.020772317435550917
1.2573242187500001e-11,0.020776169801861307
1.26953125e-11,0.023605277254650104
1.28173828125e-11,0.026135585734923958
1.2939453125000001e-11,0.014751058320835718
1.30615234375e-11,0.014602462110842025
1.318359375e-11,0.011370216596408727
1.3305664062500001e-11,0.012448919459313854
1.3427734375e-11,0.019645708898983767
1.35498046875e-11,0.008017273279756027
1.3671875000000001e-11,0.011380285087106477
1.37939453125e-11,0.009933366952172906
1.3916015625e-11,0.007544457054227496
1.4038085937500001e-11,0.002386034322396064
1.416015625e-11,0.005674087083152671
1.42822265625e-11,-0.0028368521699417026
1.4404296875000001e-11,0.0008738506188046566
1.4526367187500001e-11,-0.0029825452532017136
1.4648437500000002e-11,-0.0018175218711774575
